moduleId/I, z_cm/D, r_cm/D, eta/D, phi/D, sensorSpacing_cm/D
50432, 4.394800, 21.972200, 0.198706, 1.570796, 0.260000
50433, 8.392580, 21.367800, 0.383312, 1.570796, 0.260000
50434, 12.968800, 21.972200, 0.560435, 1.570796, 0.260000
50435, 16.633200, 21.367800, 0.715731, 1.570796, 0.260000
50436, 21.327499, 21.972200, 0.860473, 1.570796, 0.260000
50437, 24.666901, 21.367800, 0.986448, 1.570796, 0.260000
50438, 29.476400, 21.972200, 1.103521, 1.570796, 0.260000
50439, 32.499001, 21.367800, 1.206319, 1.570796, 0.260000
50440, 37.420700, 21.972200, 1.302387, 1.570796, 0.260000
50441, 40.134399, 21.367800, 1.387830, 1.570796, 0.260000
50442, 45.165600, 21.972200, 1.468218, 1.570796, 0.260000
50443, 47.578201, 21.367800, 1.540626, 1.570796, 0.260000
50444, 52.716000, 21.972200, 1.609135, 1.570796, 0.260000
50445, 54.835098, 21.367800, 1.671558, 1.570796, 0.260000
50446, 60.076900, 21.972200, 1.730872, 1.570796, 0.260000
50447, 61.909801, 21.367800, 1.785473, 1.570796, 0.260000
50448, 67.252998, 21.972200, 1.837507, 1.570796, 0.260000
50449, 68.806900, 21.367800, 1.885848, 1.570796, 0.260000
50450, 74.249001, 21.972200, 1.932001, 1.570796, 0.260000
50451, 75.530800, 21.367800, 1.975236, 1.570796, 0.260000
50452, 81.069298, 21.972200, 2.016551, 1.570796, 0.260000
50453, 82.085899, 21.367800, 2.055554, 1.570796, 0.260000
50454, 87.718399, 21.972200, 2.092830, 1.570796, 0.260000
50455, 88.476501, 21.367800, 2.128272, 1.570796, 0.260000
50456, 94.200600, 21.972200, 2.162127, 1.570796, 0.260000
50457, 94.706703, 21.367800, 2.194537, 1.570796, 0.260000
50458, 100.519997, 21.972200, 2.225462, 1.570796, 0.260000
50459, 100.779999, 21.367800, 2.255256, 1.570796, 0.260000
50460, 106.681000, 21.972200, 2.283652, 1.570796, 0.260000
50461, 106.702003, 21.367800, 2.311180, 1.570796, 0.260000
50462, 112.686996, 21.972200, 2.337355, 1.570796, 0.260000
50500, -112.686996, 23.814800, -2.258437, 1.963495, 0.259998
50501, -106.702003, 23.210400, -2.230211, 1.963495, 0.260000
50502, -106.681000, 23.814800, -2.204915, 1.963495, 0.259998
50503, -100.780998, 23.210400, -2.174500, 1.963495, 0.260000
50504, -100.521004, 23.814800, -2.146952, 1.963495, 0.259998
50505, -94.707397, 23.210400, -2.114027, 1.963495, 0.260000
50506, -94.201401, 23.814800, -2.083883, 1.963495, 0.259998
50507, -88.477501, 23.210400, -2.048072, 1.963495, 0.260000
